epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.79,1.2942,0.86591,1.21171,0.90857,0.87238,0.92194,0.5697,1.28037,0.71421,1.20214,0.000416244,0.000416244,0.000416244
2,219.535,1.32171,0.90791,1.22231,0.898,0.86395,0.91678,0.56489,1.30509,0.75573,1.21096,0.000810625,0.000810625,0.000810625
3,322.061,1.35503,0.95632,1.23423,0.88346,0.83111,0.89238,0.5459,1.32431,0.81282,1.22513,0.00118271,0.00118271,0.00118271
4,424.695,1.35567,0.96318,1.242,0.87407,0.83088,0.89265,0.53713,1.3416,0.8028,1.22828,0.00114966,0.00114966,0.00114966
5,526.302,1.34029,0.93578,1.2381,0.90493,0.83933,0.91193,0.54905,1.33102,0.77677,1.22273,0.00111622,0.00111622,0.00111622
6,627.674,1.3217,0.9072,1.2232,0.90385,0.87665,0.92714,0.56732,1.29018,0.72721,1.18551,0.00108277,0.00108277,0.00108277
7,729.591,1.30906,0.89367,1.2181,0.91148,0.86895,0.91258,0.56425,1.28224,0.73162,1.18972,0.00104932,0.00104932,0.00104932
8,831.202,1.29279,0.8664,1.20721,0.92095,0.87502,0.92867,0.57649,1.29983,0.71648,1.1907,0.00101588,0.00101588,0.00101588
9,932.754,1.29259,0.85437,1.20378,0.91831,0.87983,0.92825,0.58688,1.24684,0.69389,1.17076,0.000982432,0.000982432,0.000982432
10,1034.01,1.27779,0.83286,1.19543,0.91716,0.89443,0.93878,0.59583,1.24066,0.66003,1.16503,0.000948986,0.000948986,0.000948986
11,1134.81,1.26986,0.81495,1.19329,0.92417,0.88892,0.9349,0.59309,1.24467,0.66768,1.16677,0.000915541,0.000915541,0.000915541
12,1235.93,1.25079,0.80117,1.18166,0.9201,0.9045,0.94324,0.60671,1.22201,0.6409,1.15198,0.000882095,0.000882095,0.000882095
13,1337.84,1.25164,0.79322,1.18286,0.91893,0.90683,0.94489,0.60881,1.21061,0.64098,1.15716,0.000848649,0.000848649,0.000848649
14,1439.57,1.23482,0.77226,1.1737,0.92947,0.90171,0.94445,0.60975,1.20387,0.62606,1.13786,0.000815203,0.000815203,0.000815203
15,1542.06,1.22965,0.76577,1.16839,0.92245,0.90637,0.94602,0.61187,1.1972,0.62303,1.13224,0.000781757,0.000781757,0.000781757
16,1644.72,1.22217,0.75254,1.16322,0.92527,0.91603,0.95019,0.61716,1.18844,0.60139,1.13331,0.000748311,0.000748311,0.000748311
17,1747.09,1.21108,0.74468,1.15964,0.92613,0.91284,0.94581,0.61555,1.18472,0.60918,1.12696,0.000714865,0.000714865,0.000714865
18,1849.1,1.20152,0.72505,1.1559,0.92162,0.92405,0.95381,0.62009,1.18538,0.59643,1.12736,0.000681419,0.000681419,0.000681419
19,1950.16,1.19291,0.72159,1.14968,0.94033,0.91328,0.95518,0.62354,1.17814,0.57693,1.12588,0.000647973,0.000647973,0.000647973
20,2051.77,1.19725,0.70917,1.14725,0.93871,0.92585,0.9564,0.6265,1.18817,0.55736,1.12486,0.000614527,0.000614527,0.000614527
21,2153.17,1.17723,0.69572,1.13663,0.93565,0.9255,0.95331,0.62672,1.17,0.56399,1.11863,0.000581081,0.000581081,0.000581081
22,2254.8,1.17839,0.69844,1.14106,0.93187,0.92769,0.9573,0.63234,1.16037,0.56111,1.11662,0.000547635,0.000547635,0.000547635
23,2356.49,1.1658,0.69176,1.1346,0.93075,0.92971,0.95677,0.63617,1.1572,0.55062,1.11148,0.000514189,0.000514189,0.000514189
24,2458.43,1.16264,0.67216,1.13114,0.93089,0.93064,0.95853,0.6375,1.15458,0.54692,1.10951,0.000480743,0.000480743,0.000480743
25,2560.03,1.15331,0.67313,1.12383,0.94059,0.93068,0.95945,0.63914,1.14723,0.54152,1.10331,0.000447297,0.000447297,0.000447297
26,2661.16,1.14403,0.66759,1.12057,0.93616,0.93398,0.96057,0.64071,1.15236,0.54005,1.10742,0.000413851,0.000413851,0.000413851
27,2763.2,1.13397,0.65219,1.11583,0.94118,0.93258,0.95973,0.63978,1.14142,0.5342,1.10038,0.000380405,0.000380405,0.000380405
28,2865.04,1.1029,0.54815,1.09602,0.94081,0.93093,0.96177,0.64264,1.13538,0.5313,1.10345,0.000346959,0.000346959,0.000346959
29,2964.78,1.09149,0.53292,1.08706,0.94047,0.93171,0.96127,0.6462,1.1307,0.52832,1.095,0.000313514,0.000313514,0.000313514
30,3065.03,1.08475,0.5238,1.08434,0.94533,0.9307,0.96287,0.64895,1.12615,0.52181,1.09249,0.000280068,0.000280068,0.000280068
31,3165.65,1.06632,0.50949,1.0755,0.94381,0.93427,0.9636,0.65221,1.12097,0.51549,1.09058,0.000246622,0.000246622,0.000246622
32,3266.19,1.05888,0.50355,1.07416,0.943,0.93279,0.96493,0.65221,1.11667,0.51427,1.09134,0.000213176,0.000213176,0.000213176
33,3367.08,1.05544,0.50076,1.07264,0.94022,0.93587,0.96579,0.65305,1.11494,0.50919,1.08957,0.00017973,0.00017973,0.00017973
34,3468.04,1.0432,0.48908,1.06388,0.94106,0.93439,0.96542,0.65377,1.11335,0.50493,1.08914,0.000146284,0.000146284,0.000146284
35,3568.62,1.03549,0.48212,1.06033,0.938,0.93851,0.96536,0.65445,1.10945,0.50253,1.0848,0.000112838,0.000112838,0.000112838
36,3669.08,1.03189,0.47797,1.05968,0.94121,0.93879,0.96565,0.65609,1.10722,0.50011,1.08332,7.93919e-05,7.93919e-05,7.93919e-05
37,3769.61,1.0267,0.47303,1.05811,0.94087,0.93935,0.96537,0.65577,1.10666,0.49871,1.08372,4.59459e-05,4.59459e-05,4.59459e-05
