epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,249.952,1.19647,2.41274,0.03465,0.03336,0.80346,0.79846,0.85479,0.63118,0.93561,0.85151,0.02712,0.00133,0.00995951,0.00331984,0.00995951,0.00331984,0.00995951,0.00331984,0.00995951,0.00331984
2,478.065,1.02399,0.88414,0.03211,0.00115,0.85598,0.8349,0.88624,0.65479,0.93487,0.64175,0.02523,0.00173,0.0197619,0.0065873,0.0197619,0.0065873,0.0197619,0.0065873,0.0197619,0.0065873
3,706.545,1.06608,0.9681,0.03186,0.00082,0.69043,0.62863,0.67948,0.44341,1.21511,1.39588,0.0304,0.001,0.0293663,0.00978877,0.0293663,0.00978877,0.0293663,0.00978877,0.0293663,0.00978877
4,935.216,1.12003,1.05206,0.03141,0.00045,0.75347,0.71351,0.75939,0.54119,1.0561,0.95912,0.0286,0.00016,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1163.46,1.08928,0.94838,0.03124,0.00031,0.84419,0.79845,0.86618,0.62383,1.0074,0.69694,0.02596,0.00028,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1391.14,1.06378,0.89033,0.03073,0.00032,0.73753,0.58543,0.6499,0.45322,1.19351,1.3777,0.03629,0.00038,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1618.63,1.03631,0.81517,0.03109,0.00024,0.8548,0.83915,0.8943,0.66091,0.95168,0.65727,0.02791,0.00034,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1847.84,1.02406,0.77811,0.03057,0.00023,0.90342,0.87528,0.92876,0.69205,0.92506,0.53761,0.02596,0.00019,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2075.65,1.00542,0.7622,0.03043,0.0002,0.93672,0.89806,0.95131,0.72119,0.86193,0.41947,0.02428,9e-05,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2304.13,0.98804,0.73188,0.02995,0.00017,0.93008,0.89219,0.9472,0.72464,0.85012,0.4251,0.02365,9e-05,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2531.68,0.98414,0.70515,0.02996,0.00015,0.91378,0.8947,0.94159,0.71713,0.85879,0.44687,0.02567,5e-05,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2759.62,0.96283,0.67986,0.02976,0.00016,0.91518,0.91324,0.95513,0.74139,0.83003,0.41717,0.02494,6e-05,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2987.74,0.95793,0.66972,0.02991,0.00013,0.92742,0.90405,0.95681,0.73842,0.83446,0.40789,0.02437,5e-05,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3214.8,0.94351,0.64391,0.02943,0.00016,0.93892,0.92918,0.9673,0.76031,0.78094,0.34998,0.02344,3e-05,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3442.51,0.94098,0.63567,0.0296,0.00016,0.94048,0.92482,0.96635,0.75372,0.81044,0.36737,0.0235,1e-05,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
